Markets,Periods,Manufacturer,Category,Trademark,Brand,$,Units,EQ,Avg Unit Price,%ACV,TDP,$ / $MM ACV,Units / $MM ACV,EQ / $MM ACV
MARKET_001,1 w/e 01/25/25,MFR_001,CAT_001,TM_001,BRAND_001,15.4801,2.0,1.5001,7.74,0.2439,0.2439,7.6717,0.9912,0.7434
MARKET_002,1 w/e 02/01/25,MFR_001,CAT_001,TM_001,BRAND_001,172914.2303,41307.4377,14545.325,4.186,47.9316,81.3444,120.5923,28.8083,10.1441
MARKET_003,1 w/e 02/01/25,MFR_001,CAT_001,TM_001,BRAND_001,18684.1737,7349.599,765.5833,2.5422,18.6485,18.6486,287.6679,113.1569,11.7872
MARKET_004,1 w/e 02/01/25,MFR_001,CAT_001,TM_001,BRAND_001,90220.4866,19078.8387,8230.846,4.7288,43.1544,75.7817,155.4359,32.8699,14.1805
MARKET_005,1 w/e 02/01/25,MFR_001,CAT_001,TM_001,BRAND_001,5667.0601,1248.0,450.9792,4.5409,39.7738,65.431,82.0355,18.0659,6.5283
MARKET_001,1 w/e 02/01/25,MFR_001,CAT_001,TM_001,BRAND_001,55593.02,12491.0,4947.5208,4.4506,86.0729,147.2994,78.068,17.5408,6.9477
MARKET_002,1 w/e 02/08/25,MFR_001,CAT_001,TM_001,BRAND_001,468451.9542,117803.1799,41518.1361,3.9766,68.9438,121.7721,227.1603,57.1248,20.1328
MARKET_003,1 w/e 02/08/25,MFR_001,CAT_001,TM_001,BRAND_001,50042.2603,19274.365,2009.6838,2.5963,36.0697,36.0983,398.3892,153.4443,15.9992
MARKET_004,1 w/e 02/08/25,MFR_001,CAT_001,TM_001,BRAND_001,264449.4641,60908.8986,26373.1606,4.3417,75.8564,136.9496,259.1921,59.698,25.8489
MARKET_005,1 w/e 02/08/25,MFR_001,CAT_001,TM_001,BRAND_001,12133.79,2850.0001,1107.3958,4.2575,63.3815,111.3033,110.2237,25.8895,10.0596
MARKET_001,1 w/e 02/08/25,MFR_001,CAT_001,TM_001,BRAND_001,139356.7301,32147.0,12219.1667,4.335,94.973,179.2272,177.3565,40.9128,15.5511
MARKET_002,1 w/e 02/15/25,MFR_001,CAT_001,TM_001,BRAND_001,427261.407,117029.9793,38839.427,3.6509,76.7094,134.4592,186.1996,51.0014,16.9261
MARKET_003,1 w/e 02/15/25,MFR_001,CAT_001,TM_001,BRAND_001,58175.42,24177.8721,2518.5284,2.4061,49.7989,49.799,335.3317,139.3648,14.5172
MARKET_004,1 w/e 02/15/25,MFR_001,CAT_001,TM_001,BRAND_001,244186.297,61087.1072,26240.4819,3.9973,84.6982,155.3967,214.3368,53.6198,23.0328
MARKET_005,1 w/e 02/15/25,MFR_001,CAT_001,TM_001,BRAND_001,12638.95,2950.0001,1040.3125,4.2844,73.2257,125.2094,99.3776,23.1953,8.1798
MARKET_001,1 w/e 02/15/25,MFR_001,CAT_001,TM_001,BRAND_001,107058.8,25616.0,9184.7916,4.1794,97.9765,185.1703,132.0748,31.6016,11.331
MARKET_002,1 w/e 02/22/25,MFR_001,CAT_001,TM_001,BRAND_001,361710.3017,103629.7089,25463.2846,3.4904,79.4691,137.9865,152.1778,43.5988,10.7128
MARKET_003,1 w/e 02/22/25,MFR_001,CAT_001,TM_001,BRAND_001,76657.5379,31158.323,3291.2656,2.4603,56.6163,57.2772,389.0722,158.1428,16.7047
MARKET_004,1 w/e 02/22/25,MFR_001,CAT_001,TM_001,BRAND_001,180752.9139,46158.9692,13828.269,3.9159,87.2455,159.7946,154.0253,39.3335,11.7835
MARKET_005,1 w/e 02/22/25,MFR_001,CAT_001,TM_001,BRAND_001,11602.91,2678.0001,926.0833,4.3327,79.2244,129.2679,84.3235,19.4622,6.7303
MARKET_001,1 w/e 02/22/25,MFR_001,CAT_001,TM_001,BRAND_001,86273.2001,20171.0001,7502.2501,4.2771,98.1639,183.8641,106.2291,24.8368,9.2376
