Markets,Periods,Manufacturer,Category,Trademark,Brand,$,Units,EQ,Avg Unit Price,%ACV,TDP,$ / $MM ACV,Units / $MM ACV,EQ / $MM ACV
MARKET_001,1 w/e 01/04/25,MFR_001,CAT_001,TM_001,BRAND_001,2934.0733,1101.7501,189.4898,2.6631,0.9037,1.3585,108.513,40.7468,7.008
MARKET_001,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_002,924.8518,377.4591,38.631,2.4502,0.5907,0.602,52.331,21.3578,2.1859
MARKET_001,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_003,20080.9123,6885.963,984.0955,2.9162,17.0084,17.9353,39.4602,13.5313,1.9338
MARKET_001,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_004,131486.2392,38622.095,8620.733,3.4044,49.2818,58.2515,89.1728,26.1932,5.8465
MARKET_001,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_005,20616.3272,2796.506,2097.3795,7.3722,16.9531,16.9531,40.6444,5.5132,4.1349
MARKET_001,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_006,59369.8201,16079.0,3826.1666,3.6924,17.1466,27.6827,115.7245,31.3414,7.458
MARKET_001,1 w/e 01/04/25,MFR_002,CAT_001,TM_004,BRAND_007,4180.3998,1102.304,427.1328,3.7924,0.9823,0.9824,142.2306,37.5039,14.5324
MARKET_001,1 w/e 01/04/25,MFR_002,CAT_001,TM_005,BRAND_008,7852.2407,2257.8861,666.8598,3.4777,2.5374,2.6681,103.4292,29.7407,8.7838
MARKET_002,1 w/e 01/04/25,MFR_001,CAT_001,TM_001,BRAND_001,2307.4541,908.062,135.7012,2.5411,4.9046,6.22,135.1625,53.1911,7.9489
MARKET_002,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_002,844.3561,348.267,35.5902,2.4245,2.5266,2.6239,96.0085,39.6001,4.0468
MARKET_002,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_003,10154.7827,4622.1131,375.5791,2.197,13.644,14.649,213.8223,97.3246,7.9083
MARKET_002,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_004,48317.8651,18646.8501,2021.0391,2.5912,38.4079,41.5949,361.4202,139.4794,15.1175
MARKET_002,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_006,36.43,13.0,1.3542,2.8023,0.0133,0.0133,790.2386,281.9957,29.3753
MARKET_002,1 w/e 01/04/25,MFR_002,CAT_001,TM_004,BRAND_007,1594.6212,616.728,64.2425,2.5856,0.8479,0.8479,540.3298,208.9753,21.7683
MARKET_002,1 w/e 01/04/25,MFR_002,CAT_001,TM_005,BRAND_008,3590.4048,1358.716,142.1789,2.6425,2.2671,2.2671,454.9827,172.179,18.0172
MARKET_003,1 w/e 01/04/25,MFR_001,CAT_001,TM_001,BRAND_001,597.3193,188.6881,51.3305,3.1656,0.6971,1.3679,63.6794,20.1158,5.4723
MARKET_003,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_002,75.8656,27.1921,2.8325,2.79,0.451,0.451,12.5014,4.4808,0.4667
MARKET_003,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_003,2243.5596,762.55,97.1649,2.9422,5.9112,6.5233,28.2048,9.5864,1.2215
MARKET_003,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_004,53671.5944,9770.245,4764.7357,5.4934,57.726,66.5301,69.0926,12.5774,6.1337
MARKET_003,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_005,17662.9373,2400.506,1800.3795,7.358,31.0643,31.0643,42.2532,5.7425,4.3069
MARKET_003,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_006,59323.4,16065.0,3824.0625,3.6927,38.1013,61.5273,115.7029,31.3328,7.4584
MARKET_003,1 w/e 01/04/25,MFR_002,CAT_001,TM_004,BRAND_007,2142.8886,426.576,319.9321,5.0235,1.3304,1.3304,119.6937,23.8269,17.8702
MARKET_003,1 w/e 01/04/25,MFR_002,CAT_001,TM_005,BRAND_008,2793.3757,685.1701,366.1187,4.0769,3.2575,3.5482,63.723,15.6302,8.352
MARKET_004,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_003,1004.05,171.0001,63.9322,5.8716,30.9224,31.3325,18.6949,3.1839,1.1904
MARKET_004,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_004,3627.35,968.0001,297.8125,3.7473,37.7237,43.6191,55.3626,14.7741,4.5454
MARKET_004,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_005,370.85,55.0,41.2501,6.7427,9.8076,9.8076,21.7708,3.2288,2.4216
MARKET_005,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_002,2.28,1.0001,0.1043,2.28,0.3369,0.3369,0.818,0.3588,0.0374
MARKET_005,1 w/e 01/04/25,MFR_001,CAT_001,TM_002,BRAND_003,5849.48,1078.3,405.2056,5.4247,37.4257,39.2901,18.8915,3.4825,1.3087
MARKET_005,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_004,21599.5801,7236.0,1376.2656,2.985,57.8921,76.745,45.0968,15.1077,2.8734
MARKET_005,1 w/e 01/04/25,MFR_001,CAT_001,TM_003,BRAND_005,2222.08,295.0,221.2501,7.5325,12.2031,12.2031,22.0094,2.9219,2.1915
MARKET_005,1 w/e 01/04/25,MFR_002,CAT_001,TM_004,BRAND_007,388.2401,51.0001,38.25,7.6125,1.0064,1.0064,46.6265,6.1249,4.5937
MARKET_005,1 w/e 01/04/25,MFR_002,CAT_001,TM_005,BRAND_008,1238.76,176.0,132.0,7.0384,2.4969,2.4969,59.9657,8.5198,6.3898
MARKET_001,1 w/e 01/11/25,MFR_001,CAT_001,TM_001,BRAND_001,2581.7671,952.975,161.8356,2.7092,0.6595,0.7962,130.839,48.2949,8.2015
MARKET_001,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_002,929.3162,384.28,38.9042,2.4183,0.3216,0.3329,96.5704,39.9327,4.0428
MARKET_001,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_003,11228.3579,3807.8981,559.1123,2.9487,11.8631,12.3568,31.634,10.7281,1.5752
MARKET_001,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_004,125624.529,39909.6854,8657.3231,3.1477,49.72,58.2857,84.4459,26.8276,5.8195
MARKET_001,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_005,28763.7905,4709.8107,3532.358,6.1072,21.1762,21.1762,45.3977,7.4335,5.5751
MARKET_001,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_006,37049.3366,10224.6318,2269.4351,3.6235,16.4153,25.9776,75.4339,20.8177,4.6207
MARKET_001,1 w/e 01/11/25,MFR_002,CAT_001,TM_004,BRAND_007,2777.4748,779.085,187.6486,3.565,0.6369,0.6369,145.7449,40.8816,9.8467
MARKET_001,1 w/e 01/11/25,MFR_002,CAT_001,TM_005,BRAND_008,5882.2951,1499.7723,414.2626,3.9221,2.2243,2.355,88.3886,22.5359,6.2248
MARKET_002,1 w/e 01/11/25,MFR_001,CAT_001,TM_001,BRAND_001,2167.7924,852.991,124.3481,2.5414,4.2033,5.3782,148.1319,58.2875,8.4971
MARKET_002,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_002,924.1762,382.28,38.6958,2.4175,2.6512,2.7484,100.1242,41.4158,4.1923
MARKET_002,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_003,5068.9972,2295.4741,198.3327,2.2083,10.8521,11.4989,134.1608,60.7541,5.2493
MARKET_002,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_004,51575.3858,19882.459,2113.3481,2.594,40.0854,42.4311,369.551,142.463,15.1427
MARKET_002,1 w/e 01/11/25,MFR_002,CAT_001,TM_004,BRAND_007,1587.4484,614.191,63.9783,2.5846,0.8259,0.8259,552.06,213.5945,22.2494
MARKET_002,1 w/e 01/11/25,MFR_002,CAT_001,TM_005,BRAND_008,2481.0399,978.212,101.8971,2.5363,2.2849,2.2849,311.8765,122.9651,12.8089
MARKET_003,1 w/e 01/11/25,MFR_001,CAT_001,TM_001,BRAND_001,364.0546,89.984,32.2397,4.0458,0.2789,0.279,96.983,23.9714,8.5886
MARKET_003,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_003,1865.0907,712.424,82.3579,2.618,4.0983,4.6697,33.8184,12.9179,1.4933
MARKET_003,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_004,45065.133,9503.8931,4717.449,4.7418,58.0184,65.8765,57.7209,12.1729,6.0423
MARKET_003,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_005,25738.6305,4299.8107,3224.858,5.986,40.6497,40.6498,47.0529,7.8605,5.8954
MARKET_003,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_006,37049.3366,10224.6318,2269.4351,3.6235,36.4983,57.7592,75.4339,20.8177,4.6207
MARKET_003,1 w/e 01/11/25,MFR_002,CAT_001,TM_004,BRAND_007,1063.7264,148.894,111.6705,7.1442,1.0365,1.0365,76.2654,10.6752,8.0064
MARKET_003,1 w/e 01/11/25,MFR_002,CAT_001,TM_005,BRAND_008,2464.1653,393.5602,218.303,6.2612,2.541,2.8316,72.0638,11.5096,6.3842
MARKET_004,1 w/e 01/11/25,MFR_001,CAT_001,TM_001,BRAND_001,6.3901,1.0001,0.3906,6.39,0.4132,0.4132,8.9034,1.3933,0.5442
MARKET_004,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_003,438.56,74.0,28.9062,5.9265,13.4888,13.4888,18.7196,3.1586,1.2338
MARKET_004,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_004,2840.83,762.3332,222.9582,3.7265,35.177,41.9046,46.4973,12.4775,3.6493
MARKET_004,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_005,750.96,114.0,85.5001,6.5874,9.2078,9.2078,46.957,7.1283,5.3463
MARKET_005,1 w/e 01/11/25,MFR_001,CAT_001,TM_001,BRAND_001,6.3401,1.0001,0.3906,6.34,0.3513,0.3513,2.1815,0.3441,0.1344
MARKET_005,1 w/e 01/11/25,MFR_001,CAT_001,TM_002,BRAND_003,3110.1401,544.0,206.4426,5.7172,26.4281,26.9393,14.2244,2.488,0.9442
MARKET_005,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_004,19947.0,6745.0,1253.5781,2.9573,57.8199,75.8729,41.6984,14.1002,2.6206
MARKET_005,1 w/e 01/11/25,MFR_001,CAT_001,TM_003,BRAND_005,2293.82,302.0001,226.5,7.5954,12.46,12.46,22.2516,2.9296,2.1972
MARKET_005,1 w/e 01/11/25,MFR_002,CAT_001,TM_004,BRAND_007,99.32,13.0,9.75,7.64,0.2298,0.2298,52.2352,6.8371,5.1278
MARKET_005,1 w/e 01/11/25,MFR_002,CAT_001,TM_005,BRAND_008,879.16,117.0001,87.75,7.5142,2.4969,2.4969,42.5583,5.6637,4.2478
MARKET_001,1 w/e 01/18/25,MFR_001,CAT_001,TM_001,BRAND_001,2533.7782,912.8441,162.3422,2.7757,0.6272,0.7719,135.0549,48.6562,8.6531
MARKET_001,1 w/e 01/18/25,MFR_001,CAT_001,TM_002,BRAND_002,1021.0213,422.637,44.1081,2.4158,0.3661,0.3798,93.2235,38.5885,4.0272
MARKET_001,1 w/e 01/18/25,MFR_001,CAT_001,TM_002,BRAND_003,7232.867,2774.2461,307.287,2.6071,6.2616,6.573,38.6137,14.8107,1.6405
MARKET_001,1 w/e 01/18/25,MFR_001,CAT_001,TM_003,BRAND_004,126950.927,39193.133,8214.354,3.2391,49.1908,57.8719,86.2714,26.6343,5.5822
MARKET_001,1 w/e 01/18/25,MFR_001,CAT_001,TM_003,BRAND_005,26475.1714,3979.7051,2984.7788,6.6525,22.6612,22.6611,39.0545,5.8706,4.403
MARKET_001,1 w/e 01/18/25,MFR_001,CAT_001,TM_003,BRAND_006,29499.24,8773.6631,1806.8933,3.3622,15.9898,24.1583,61.6712,18.3422,3.7775
MARKET_001,1 w/e 01/18/25,MFR_002,CAT_001,TM_004,BRAND_007,2211.3054,701.61,128.8132,3.1518,0.5227,0.5227,141.4068,44.866,8.2373
